title,score,opencritic_classification,platforms,release_date,url
Super Mario Odyssey,97,Mighty,Switch,"Oct 27, 2017",https://opencritic.com/game/4504/super-mario-odyssey
The Legend of Zelda: Breath of the Wild,96,Mighty,"Wii-U, Switch","Mar 3, 2017",https://opencritic.com/game/1548/the-legend-of-zelda-breath-of-the-wild
Red Dead Redemption 2,96,Mighty,"PS4, XB1, Stadia, PC, XBXS, PS5","Oct 26, 2018",https://opencritic.com/game/3717/red-dead-redemption-2
Elden Ring,95,Mighty,"PC, XBXS, PS5, XB1, PS4","Feb 25, 2022",https://opencritic.com/game/12090/elden-ring
Metroid Prime Remastered,95,Mighty,Switch,"Feb 8, 2023",https://opencritic.com/game/14280/metroid-prime-remastered
God of War,94,Mighty,"PS4, PS5","Apr 20, 2018",https://opencritic.com/game/5434/god-of-war
The Last of Us Remastered,94,Mighty,"PS4, PS5","Jul 28, 2014",https://opencritic.com/game/234/the-last-of-us-remastered
Persona 5 Royal,94,Mighty,"PS4, PS5","Mar 31, 2020",https://opencritic.com/game/8785/persona-5-royal
Persona 5,94,Mighty,"PS4, PS5","Apr 4, 2017",https://opencritic.com/game/1537/persona-5
Hades,94,Mighty,"PC, Switch","Sep 17, 2020",https://opencritic.com/game/10181/hades
Divinity: Original Sin 2,93,Mighty,PC,"Sep 14, 2017",https://opencritic.com/game/3828/divinity-original-sin-2
Journey,93,Mighty,"PS4, PS5","Jul 21, 2015",https://opencritic.com/game/1436/journey
Undertale,93,Mighty,"PS4, PC, Vita, Switch, PS5","Sep 15, 2015",https://opencritic.com/game/1907/undertale
Dead Cells: The Queen & the Sea,93,Mighty,"XB1, PS4, Switch, PC","Jan 6, 2022",https://opencritic.com/game/12550/dead-cells-the-queen-the-sea
Super Mario 3D World,93,Mighty,Wii-U,"Nov 22, 2013",https://opencritic.com/game/753/super-mario-3d-world
God of War Ragnarök,93,Mighty,"PS4, PS5","Nov 9, 2022",https://opencritic.com/game/12919/god-of-war-ragnar-k
The Last of Us Part II,93,Mighty,"PS4, PS5","Jun 19, 2020",https://opencritic.com/game/8351/the-last-of-us-part-ii
Portal: Companion Collection,93,Mighty,Switch,"Jun 28, 2022",https://opencritic.com/game/13325/portal-companion-collection
Final Fantasy XIV: Endwalker,93,Mighty,"PC, PS5, PS4","Dec 7, 2021",https://opencritic.com/game/11626/final-fantasy-xiv-endwalker
Uncharted 4: A Thief's End,93,Mighty,"PS4, PS5","May 10, 2016",https://opencritic.com/game/1538/uncharted-4-a-thiefs-end
Half-Life: Alyx,93,Mighty,"Vive, Oculus","Mar 23, 2020",https://opencritic.com/game/8996/half-life-alyx
The Witcher 3: Wild Hunt,93,Mighty,"PS4, XB1, PC, XBXS, PS5","May 19, 2015",https://opencritic.com/game/463/the-witcher-3-wild-hunt
Metal Gear Solid V: The Phantom Pain,93,Mighty,"PS4, XB1, PC, XBXS, PS5","Sep 1, 2015",https://opencritic.com/game/1887/metal-gear-solid-v-the-phantom-pain
The Witcher 3: Wild Hunt - Blood and Wine,92,Mighty,"PS4, XB1, PC, XBXS, PS5","May 30, 2016",https://opencritic.com/game/2704/the-witcher-3-wild-hunt-blood-and-wine
Grand Theft Auto V,92,Mighty,"PS4, XB1, PC, XBXS, PS5","Nov 18, 2014",https://opencritic.com/game/163/grand-theft-auto-v
Forza Horizon 5,92,Mighty,"PC, XB1, XBXS","Nov 9, 2021",https://opencritic.com/game/11624/forza-horizon-5
Resident Evil 2,92,Mighty,"PS4, XB1, PC, XBXS, PS5","Jan 25, 2019",https://opencritic.com/game/6848/resident-evil-2
Super Smash Bros. Ultimate,92,Mighty,Switch,"Dec 7, 2018",https://opencritic.com/game/6223/super-smash-bros-ultimate
Demon's Souls (2020 Remake),92,Mighty,PS5,"Nov 12, 2020",https://opencritic.com/game/10255/demons-souls-2020-remake-
Super Smash Bros. for Wii U,92,Mighty,Wii-U,"Nov 21, 2014",https://opencritic.com/game/724/super-smash-bros-for-wii-u
Forza Horizon 4,92,Mighty,"XB1, PC, XBXS","Oct 2, 2018",https://opencritic.com/game/1573/forza-horizon-4
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,92,Mighty,"Switch, XBXS, PS5, PS4, XB1, PC","Sep 27, 2019",https://opencritic.com/game/8342/dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition
Microsoft Flight Simulator,92,Mighty,"PC, XBXS","Aug 18, 2020",https://opencritic.com/game/9793/microsoft-flight-simulator
Celeste,92,Mighty,"PS4, XB1, PC, Switch, XBXS, PS5","Jan 25, 2018",https://opencritic.com/game/5403/celeste
Disco Elysium,92,Mighty,PC,"Oct 15, 2019",https://opencritic.com/game/8419/disco-elysium
Shadow of the Colossus,92,Mighty,"PS4, PS5","Feb 6, 2018",https://opencritic.com/game/5118/shadow-of-the-colossus
NieR: Automata Become as Gods Edition,92,Mighty,"XB1, XBXS","Jun 26, 2018",https://opencritic.com/game/6310/nier-automata-become-as-gods-edition
Mario Kart 8 Deluxe,92,Mighty,Switch,"Apr 28, 2017",https://opencritic.com/game/4061/mario-kart-8-deluxe
Divinity: Original Sin 2 - Definitive Edition,91,Mighty,"PS4, XB1, PC, Switch, XBXS, PS5","Aug 30, 2018",https://opencritic.com/game/6529/divinity-original-sin-2-definitive-edition
NieR: Automata Game of the YoRHa Edition,91,Mighty,"PS4, PC, PS5","Feb 26, 2019",https://opencritic.com/game/7334/nier-automata-game-of-the-yorha-edition
Bloodborne,91,Mighty,"PS4, PS5","Mar 24, 2015",https://opencritic.com/game/76/bloodborne
INSIDE,91,Mighty,"PS4, XB1, PC, XBXS, PS5","Jun 29, 2016",https://opencritic.com/game/2848/inside
Forza Horizon 3,91,Mighty,"XB1, PC, XBXS","Sep 27, 2016",https://opencritic.com/game/2842/forza-horizon-3
Bayonetta 2,91,Mighty,Wii-U,"Oct 24, 2014",https://opencritic.com/game/1462/bayonetta-2
Dota 2,91,Mighty,PC,"Jul 9, 2013",https://opencritic.com/game/9753/dota-2
Freshly Frosted,91,Mighty,"PC, Switch, PS4","Jun 10, 2022",https://opencritic.com/game/13232/freshly-frosted
Ori and the Will of the Wisps,90,Mighty,"XB1, PC, XBXS","Mar 11, 2020",https://opencritic.com/game/7403/ori-and-the-will-of-the-wisps
Overwatch,90,Mighty,"PS4, XB1, PC, XBXS, PS5","May 24, 2016",https://opencritic.com/game/1673/overwatch
Dreams,90,Mighty,"PS4, PS5","Feb 14, 2020",https://opencritic.com/game/8786/dreams
Rayman Legends,90,Mighty,"PS4, XB1, Wii-U, PC, XBXS, PS5","Sep 3, 2013",https://opencritic.com/game/288/rayman-legends
Animal Crossing: New Horizons,90,Mighty,Switch,"Mar 20, 2020",https://opencritic.com/game/7409/animal-crossing-new-horizons
The Legend of Zelda: A Link Between Worlds,90,Mighty,3DS,"Nov 22, 2013",https://opencritic.com/game/2405/the-legend-of-zelda-a-link-between-worlds
Ori and the Blind Forest,90,Mighty,"XB1, PC, XBXS","Mar 11, 2015",https://opencritic.com/game/829/ori-and-the-blind-forest
Crusader Kings III,90,Mighty,PC,"Sep 1, 2020",https://opencritic.com/game/9593/crusader-kings-iii
NORCO,90,Mighty,PC,"Mar 25, 2022",https://opencritic.com/game/12947/norco
Sekiro: Shadows Die Twice,90,Mighty,"PS4, XB1, PC, XBXS, PS5","Mar 22, 2019",https://opencritic.com/game/6630/sekiro-shadows-die-twice
Dwarf Fortress,90,Mighty,PC,"Dec 6, 2022",https://opencritic.com/game/14083/dwarf-fortress
Minecraft,90,Mighty,"PS4, PS5, XBXS, XB1, Switch, PC","Sep 20, 2017",https://opencritic.com/game/194/minecraft
Hi-Fi Rush,90,Mighty,"XBXS, PC","Jan 25, 2023",https://opencritic.com/game/14227/hi-fi-rush
Monster Hunter World: Iceborne,90,Mighty,"PS4, XB1, PC, XBXS, PS5","Sep 6, 2019",https://opencritic.com/game/7898/monster-hunter-world-iceborne
Monster Hunter World,90,Mighty,"PS4, XB1, PC, XBXS, PS5","Jan 26, 2018",https://opencritic.com/game/4903/monster-hunter-world
The Legend of Zelda: Majora's Mask 3D,90,Mighty,3DS,"Feb 13, 2015",https://opencritic.com/game/2284/the-legend-of-zelda-majoras-mask-3d
Dark Souls III,90,Mighty,"PS4, XB1, PC, XBXS, PS5","Apr 12, 2016",https://opencritic.com/game/1520/dark-souls-iii
